<pre>
 
                Tageswerte der Station 10655 W�rzburg                                               
 STAT JJJJMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
10655 20260223  3    7.5    8.0    9.9   12.5   77.5    4.0   17.8    1.4    7.7    9.6  984.6
10655 20260222  3    7.7    8.6    9.8   11.8   90.7    4.0   16.0    0.0    7.8    5.9  987.8
10655 20260221  3    1.8    3.1    6.7    9.4   90.7    3.0   15.0    0.8    7.7    1.7  989.4
10655 20260220  3   -4.2   -3.8    0.4    3.2   79.2    2.0    8.8    6.6    5.2    1.7  988.8
10655 20260219  3   -0.6   -0.7    0.3    1.6   91.6    3.0   11.5    0.0    7.4   11.1  974.0
10655 20260218  3   -0.8    0.7    2.3    4.7   70.8    3.0   11.1    2.0    7.8    2.6  979.9
10655 20260217  3    0.3    0.8    3.0    5.4   86.8    4.0   14.7    0.3    7.3    1.2  974.8
10655 20260216  3   -0.7   -1.1    3.1    7.8   89.6    3.0   12.5    1.0    7.3    4.2  965.6
10655 20260215  3   -1.9   -1.3    0.4    3.0   69.1    3.0   13.3    4.5    7.0    5.5  981.4
10655 20260214  3    0.3    0.4    2.6    4.6   85.0    2.0    9.7    0.0    7.8    0.0  973.0
10655 20260213  3    2.0    4.1    6.7    8.5   86.7    3.0   13.5    0.4    7.8    1.7  961.4
10655 20260212  3    4.7    5.4    7.3   11.0   89.1    4.0   16.8    0.7    7.3    6.5  951.9
10655 20260211  3    4.3    4.7    7.7   10.0   92.8    3.0   15.5    0.0    7.6   13.8  956.1
10655 20260210  3   -2.6   -0.2    3.7    7.5   83.3    2.0    8.5    1.6    7.7    1.9  966.8
10655 20260209  3    1.8    1.6    3.5    5.8   86.7    2.0    6.1    0.1    8.0    0.0  976.1
10655 20260208  3   -0.3    1.9    3.5    5.6   93.9    1.0    5.5    0.0    7.7    0.0  977.4
10655 20260207  3    0.6    1.5    3.3    5.5   96.7    1.0    3.0    0.0    8.0    0.0  973.1
10655 20260206  3    0.2    0.5    1.3    2.2   90.0    2.0    6.2    0.0    7.9    0.6  963.0
10655 20260205  3    0.1    1.0    1.5    2.2   87.5    2.0    7.5    0.0    8.0    0.0  961.8
10655 20260204  3   -3.5   -3.5    0.5    3.9   89.8    2.0    7.9    4.3    6.7    0.0  967.8
10655 20260203  3   -2.9   -1.6    0.4    2.1   87.0    2.0    8.5    0.1    7.4    1.5  970.3
10655 20260202  3   -1.9   -1.1    1.0    2.5                         1.4           0.0       
10655 20260201  3    0.1    0.7    1.8    3.1   86.0    2.0           0.0    7.8    0.0  977.8
10655 20260131  7    0.1    0.7    1.4    2.1   90.0    2.0    7.4    0.0    7.9    0.0  973.5
10655 20260130  7    0.1   -0.6    0.5    1.5   94.0    2.0    8.2    0.0    7.9    0.0  969.1
10655 20260129  7    0.1   -0.3    0.4    1.0   94.0    2.0    6.4    0.4    7.8    5.2  966.8
10655 20260128  7    0.0    0.8    1.8    4.1   91.0    2.0    7.5    0.6    7.8    1.6  962.2
10655 20260127  7   -0.1   -0.3    1.1    3.7   90.0    2.0    9.0    6.0    7.4    5.3  968.2
10655 20260126  7   -0.7   -2.1   -0.9    0.3   96.0    2.0    8.3    0.0    7.5   10.1  967.5
10655 20260125  7   -3.7   -3.9   -1.9   -0.5   89.0    2.0    6.8    0.0    7.9   14.3  967.6
10655 20260124  7   -7.6   -5.3   -3.3   -0.6   75.0    2.0    7.7    6.7    4.3    0.0  971.3
10655 20260123  7   -6.6   -6.2   -3.4    0.3   73.0    2.0    7.6    6.7    6.2    0.0  968.5
10655 20260122  7   -8.9   -7.3   -5.1   -2.4   77.0    3.0    8.0    7.1    2.9    0.0  968.8
10655 20260121  7   -8.3   -5.9   -2.5    1.6   71.0    2.0    5.6    7.9    0.9    0.0  976.5
10655 20260120  7   -6.4   -3.2   -0.6    3.3   67.0    2.0    7.0    7.8    2.1    0.0  987.4
10655 20260119  7   -3.4   -1.2    1.8    6.4   65.0    2.0    6.8    7.6    1.0    0.0  988.4
10655 20260118  7   -2.7   -0.7    2.1    5.7   82.0    3.0    8.2    3.7    4.1    0.0  989.6
10655 20260117  7   -1.1   -0.1    0.8    1.6   89.0    3.0    7.4    0.0    7.9    0.0  989.6
10655 20260116  7   -1.9   -0.9    4.1   10.6   86.0    1.0    6.8    7.2    5.9    0.0  984.9
10655 20260115  7    1.3    2.9    6.8   11.9   91.0    2.0    6.6    4.0    7.0    1.0  983.5
10655 20260114  7   -0.7    0.7    5.9   11.7   88.0    2.0    9.6    0.6    7.8    2.3  983.5
10655 20260113  7   -0.2    1.5    5.1    7.8   96.0    2.0    7.9    0.0    7.9    0.2  982.2
10655 20260112  7   -3.8   -3.2   -0.1    5.3   95.0    2.0    6.6    0.0    7.5    5.9  984.0
10655 20260111  7  -11.9   -9.7   -5.2   -1.8   81.0    2.0    6.8    7.1    3.8    0.0  992.4
10655 20260110  7   -9.5   -6.9   -0.8    2.6   89.0    3.0   10.2    0.0    7.0    2.0  973.7
10655 20260109  7    0.1    0.7    3.6    7.1   86.0    4.0   18.2    0.0    7.4    5.1  962.7
10655 20260108  7   -2.4   -5.2   -1.1    0.8   92.0    2.0    8.6    0.0    7.6   12.4  976.2
10655 20260107  7   -6.4   -7.2   -5.5   -2.6   82.0    2.0    5.6    7.6    4.7    1.5  982.0
10655 20260106  7   -5.9   -9.4   -5.4   -2.8   86.0    2.0    4.5    1.0    7.5    0.0  984.0
10655 20260105  7   -7.6   -9.3   -4.5   -1.4   77.0    2.0    7.6    7.1    3.7    0.1  981.4
10655 20260104  7   -5.4   -4.4   -2.0    0.9   74.0    3.0   12.0    3.1    5.0    0.0  978.8
10655 20260103  7   -4.2   -4.1   -1.6    0.1   80.0    4.0   14.3    1.9    6.2    0.3  973.1
10655 20260102  7   -2.7   -1.5    0.3    2.5   82.0    4.0   16.1    2.5    5.9    2.2  968.5
10655 20260101  7   -1.4   -0.9   -0.1    1.2   79.0    4.0   16.0    0.0    7.9    1.8  977.0
10655 20251231  9   -8.9   -7.3   -1.8    1.4   79.0    3.0   11.0    0.1    7.1    0.0  990.9
10655 20251230  9   -8.6   -5.1   -0.1    3.0   69.0    2.0    9.3    6.7    1.9    0.0  992.9
10655 20251229  9   -9.2   -7.8   -2.5    1.5   87.0    2.0    7.8    2.5    4.1    0.0  990.9
10655 20251228  9   -6.5   -4.2   -0.3    4.7   79.0    1.0    4.4    7.4    1.6    0.0  997.0
10655 20251227  9   -5.8   -3.2    0.5    6.8   68.0    1.0    5.8    7.3    3.6    0.0  997.6
10655 20251226  9   -6.5   -3.9   -0.4    4.3   79.0    2.0    7.7    7.3    0.4    0.0  996.9
10655 20251225  9   -5.1   -4.2   -1.7    2.1   72.0    3.0   14.2    7.3    0.1    0.0  994.1
10655 20251224  9   -4.0   -3.2    0.1    1.6   68.0    4.0   16.1    0.0    7.3    0.0  992.0
10655 20251223  9    1.6    1.6    3.3    4.2   77.0    4.0   13.4    0.0    8.0    0.0  984.5
10655 20251222  9   -0.7    0.6    2.8    4.2   84.0    3.0    8.1    0.0    8.0    0.0  980.4
10655 20251221  9   -0.2    1.4    3.5    6.7   86.0    2.0    6.1    6.9    7.4    0.0  981.7
10655 20251220  9    1.7    3.4    5.4    8.0   90.0    2.0    4.6    0.5    7.8    0.0  986.1
10655 20251219  9   -2.6   -1.4    3.2    6.5   94.0    1.0    2.9    0.0    7.0    0.1  989.3
10655 20251218  9   -1.8   -0.4    3.8    9.9   91.0    1.0    3.9    6.1    4.3    0.0  990.2
10655 20251217  9   -0.8    0.0    2.3    5.9   87.0    1.0    5.8    5.1    6.0    0.0  988.9
10655 20251216  9   -0.8   -0.1    0.7    1.7   90.0    2.0    7.1    0.0    7.9    0.0  985.5
10655 20251215  9    0.9    0.6    2.2    3.9   95.0    3.0    8.4    0.1    7.9    0.0  988.9
10655 20251214  9    4.2    3.9    5.6    7.1   94.0    2.0    6.9    0.0    8.0    0.0  994.4
10655 20251213  9    5.1    4.7    5.3    6.5   98.0    2.0    4.8    0.0    8.0    0.2  996.1
10655 20251212  9    2.7    2.3    5.9    8.4   94.0    2.0    4.7    0.0    8.0    0.0  992.3
10655 20251211  9    2.0    2.5    7.7   11.3   95.0    1.0    4.1    1.6    6.6    0.0  992.7
10655 20251210  9    3.2    4.7    8.0   10.1   92.0    2.0    6.7    0.1    7.5    1.0  989.0
10655 20251209  9    4.6    5.7   10.0   14.9   88.0    2.0    7.9    6.3    7.8    0.0  985.5
10655 20251208  9    9.8   10.5   12.4   13.7   91.0    3.0   12.4    0.2    7.5    0.0  984.4
10655 20251207  9    5.6    6.9    8.3   10.5   94.0    3.0    9.7    0.0    7.7    9.0  979.8
10655 20251206  9   -0.8   -0.6    4.0    7.6   94.0    2.0    7.2    0.0    7.5    1.4  978.8
10655 20251205  9    0.5    0.4    1.8    3.4   92.0    2.0    5.8    0.0    7.8    0.0  980.3
10655 20251204  9    0.5    0.3    0.6    1.2   91.0    2.0    6.9    0.0    7.8    0.0  978.9
10655 20251203  9    0.9    0.6    1.1    1.7   93.0    2.0    7.3    0.0    7.9    0.0  982.8
10655 20251202  9   -3.6   -1.9    2.0    8.3   91.0    2.0    7.4    7.1    7.3    0.0  982.8
10655 20251201  9   -3.7   -2.6    0.9    4.4   94.0    1.0    5.5    2.7    6.3    0.0  987.1
10655 20251130  9    1.6    3.1    4.6    5.9   97.0    2.0    8.1    0.0    7.7    3.3  981.1
